"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Todi Mill Social"|"1400"|"American,North Indian,Chinese,Fast Food,Continental,Asian,Beverages"|"Mumbai"|"Lower Parel"|"https://www.zomato.com/TodiMillSocial/info"|"1"|"Bar"|"9am to 1am(Mon),9am to 130am(Tue-Sun)"|"Excellent"|"4.6"|"5805"
"Burn - Bar & Kitchen"|"1100"|"Continental,Mexican,Italian,Chinese"|"Mumbai"|"Bandra Kurla Complex"|"https://www.zomato.com/mumbai/burn-bar-kitchen-bandra-kurla-complex/info"|"1"|"Bar"|"1130am to 5am(Mon),1130am to 130am(Tue,Wed..."|"Very Good"|"4.1"|"1510"
"145 Bandra"|"1300"|"Mexican,American,Desserts,European,Modern Indian"|"Mumbai"|"Pali Hill-- Bandra West"|"https://www.zomato.com/mumbai/145-bandra-pali-hill-bandra-west/info"|"1"|"Bar"|"12noon to 130am(Mon-Sun)"|"Very Good"|"4.2"|"1552"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Cafe Zoe"|"2000"|"European,Italian,Burger,Salad,Healthy Food"|"Mumbai"|"Lower Parel"|"https://www.zomato.com/mumbai/cafe-zoe-lower-parel/info"|"10"|"Casual Dining"|"730am to 130am(Mon-Sun)"|"Very Good"|"4.1"|"3283"
"Ustaadi"|"1200"|"Asian,Biryani,Chinese,North Indian,Mughlai,Middle Eastern"|"Mumbai"|"Mumbai CST Area"|"https://www.zomato.com/mumbai/ustaadi-cst/info"|"10"|"Casual Dining"|"12noon to 4pm,7pm to 4am(Mon-Sun)"|"Very Good"|"4.3"|"1088"
"Cafe Maaz"|"350"|"Chinese,North Indian,Mughlai,Biryani,Seafood"|"Mumbai"|"Bhandup"|"https://www.zomato.com/mumbai/cafe-maaz-bhandup/info"|"10"|"Quick Bites"|"8am to 1230AM(Mon-Sun)"|"Very Good"|"4.0"|"881"
"Carter's Blue"|"900"|"North Indian,Lebanese,Fast Food,Chinese"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/carters-blue-malad-west/info"|"10"|"Casual Dining"|"12noon to 1230AM(Mon-Sun)"|"Good"|"3.9"|"898"
"Rajasthan"|"700"|"North Indian,Mughlai,Chinese,Fast Food"|"Mumbai"|"Khar"|"https://www.zomato.com/mumbai/rajasthan-khar/info"|"10"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Good"|"3.8"|"688"
"Harry's Bar + Cafe"|"1500"|"Asian,Mexican,American"|"Mumbai"|"Powai"|"https://www.zomato.com/mumbai/harrys-bar-cafe-powai/info"|"10"|"Casual Dining"|"Closed(Mon),12noon to 130am(Tue-Sun)"|"Very Good"|"4.0"|"1967"
"New Ajwa Family Restaurant"|"500"|"North Indian,Chinese,Mughlai,Kebab,Desserts"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/new-ajwa-family-restaurant-marol/info"|"10"|"Casual Dining"|"10am to 4am(Mon-Sun)"|"Very Good"|"4.4"|"316"
"Singh Saab"|"1600"|"North Indian,Asian"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/singh-saab-chembur/info"|"10"|"Casual Dining"|"12noon to 3pm,7pm to 1230AM(Mon-Sun)"|"Excellent"|"4.5"|"2214"
"Kasbah Grand"|"1400"|"North Indian,Mughlai,Chinese,Thai,Seafood"|"Mumbai"|"Goregaon West"|"https://www.zomato.com/mumbai/kasbah-grand-goregaon-west/info"|"10"|"Casual Dining"|"12noon to 130am(Mon-Fri),12noon to 3am(Sat-Sun)"|"Very Good"|"4.0"|"2280"
"Elementaria Bakery Cafe"|"800"|"Cafe,Desserts,Sandwich"|"Mumbai"|"Lower Parel"|"https://www.zomato.com/mumbai/elementaria-bakery-cafe-lower-parel/info"|"10"|"Café"|"10am to 130am(Mon-Sun)"|"Very Good"|"4.1"|"693"
"Angrezi Patiyalaa"|"1200"|"North Indian,Finger Food,American,Mexican,Chinese"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/angrezi-patiyalaa-andheri-lokhandwala/info"|"10"|"Casual Dining"|"12noon to 1230AM(Mon-Sun)"|"Excellent"|"4.5"|"271"
"Door No.1"|"1500"|"Asian,Italian,North Indian,Finger Food"|"Mumbai"|"Reclamation-- Bandra West"|"https://www.zomato.com/mumbai/door-no-1-reclamation-bandra-west/info"|"10"|"Casual Dining"|"11am to 1am(Mon-Sun)"|"Very Good"|"4.4"|"870"
"Natural Ice Cream"|"150"|"Desserts,Ice Cream"|"Mumbai"|"Vile Parle East"|"https://www.zomato.com/mumbai/natural-ice-cream-vile-parle-east/info"|"10"|"Dessert Parlor"|"11am to 1am(Mon-Sun)"|"Very Good"|"4.3"|"621"
"Punjab Grill"|"2000"|"North Indian,Mughlai,Beverages"|"Mumbai"|"Palladium Mall-- Lower Parel"|"https://www.zomato.com/mumbai/punjab-grill-lower-parel/info"|"10"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Velmi dobré"|"4.4"|"3376"
"Locco Eatery & Bar"|"1400"|"North Indian,Continental,Lebanese,Italian"|"Mumbai"|"CBD-Belapur"|"https://www.zomato.com/mumbai/locco-eatery-bar-cbd-belapur-navi-mumbai/info"|"10"|"Bar"|"12noon to 130am(Mon-Sun)"|"Very Good"|"4.3"|"424"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hotel Annapoorna Refreshments"|"400"|"Maharashtrian,Mughlai,Chinese"|"Mumbai"|"Ghansoli"|"https://www.zomato.com/mumbai/hotel-annapoorna-refreshments-ghansoli-navi-mumbai/info"|"100"|"Quick Bites"|"1030am to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
"Breadkart"|"400"|"Fast Food"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/breadkart-borivali-west/info"|"100"|"Quick Bites"|"4pm to 230am(Mon-Sun)"|"Good"|"3.6"|"38"
"Biryani 9"|"600"|"Biryani,North Indian"|"Mumbai"|"Near Andheri East Station"|"https://www.zomato.com/mumbai/biryani-9-near-andheri-east-station/info"|"100"|"none"|"11am to 3am(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Lemon Grass"|"300"|"North Indian,Chinese"|"Mumbai"|"Vasai"|"https://www.zomato.com/mumbai/the-lemon-grass-2-vasai/info"|"100"|"Quick Bites"|"12noon to 330pm,430pm to 2am(Mon-Sun)"|"Average"|"3.4"|"33"
"D Fusion Flavours"|"350"|"Chinese"|"Mumbai"|"Goregaon East"|"https://www.zomato.com/mumbai/d-fusion-flavours-goregaon-east/info"|"100"|"none"|"12noon to 330pm,7pm to 3am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Chote Nawab"|"550"|"North Indian,Chinese"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/chote-nawab-chembur/info"|"100"|"Casual Dining"|"12midnight to 130am,12noon to 12midnight..."|"Very Good"|"4.0"|"264"
"Hari Om Sai"|"300"|"Beverages,Fast Food"|"Mumbai"|"Castle Mill-- Thane West"|"https://www.zomato.com/mumbai/hari-om-sai-castle-mill-thane-west/info"|"100"|"Quick Bites"|"11am to 1230AM(Mon-Sun)"|"Average"|"3.4"|"8"
"Nation Tadka"|"400"|"North Indian,South Indian,Chinese,Fast Food"|"Mumbai"|"Worli"|"https://www.zomato.com/mumbai/nation-tadka-worli/info"|"100"|"none"|"12noon to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
"Persian Hub Family Restaurant"|"450"|"Chinese,Mughlai,North Indian,Iranian"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/persian-hub-family-restaurant-malad-west/info"|"100"|"Casual Dining"|"12noon to 330pm,7pm to 330am(Mon,Tue,Wed..."|"Average"|"3.0"|"72"
"Magdalena"|"500"|"Bakery,Desserts"|"Mumbai"|"Parel"|"https://www.zomato.com/mumbai/magdalena-parel/info"|"100"|"Bakery"|"10am to 1230AM(Mon-Sun)"|"Average"|"3.4"|"10"
"United Food Nation"|"500"|"Fast Food,Burger,American,Beverages"|"Mumbai"|"Vasant Vihar-- Thane West"|"https://www.zomato.com/mumbai/united-food-nation-vasant-vihar-thane-west-thane/info"|"100"|"Quick Bites"|"1pm to 1am(Mon-Sun)"|"Very Good"|"4.1"|"303"
"Frisbees"|"600"|"Fast Food,American,Burger"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/frisbees-andheri-lokhandwala/info"|"100"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Very Good"|"4.3"|"2266"
"Bombay Vintage"|"1300"|"North Indian,South Indian,Maharashtrian"|"Mumbai"|"Colaba"|"https://www.zomato.com/mumbai/bombay-vintage-1-colaba/info"|"100"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Very Good"|"4.2"|"437"
"Arya Bhavan"|"400"|"South Indian,Fast Food"|"Mumbai"|"Nariman Point"|"https://www.zomato.com/mumbai/arya-bhavan-1-nariman-point/info"|"100"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"210"
"Chaubara 601"|"1000"|"North Indian"|"Mumbai"|"Naupada-- Thane West"|"https://www.zomato.com/mumbai/chaubara-601-naupada-thane-west/info"|"100"|"Casual Dining"|"530pm to 1130pm(Mon-Sun)"|"Very Good"|"4.2"|"892"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Queen Margherita's Pizzeria"|"600"|"Pizza,Fast Food"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/queen-margheritas-pizzeria-malad-west/info"|"101"|"Quick Bites"|"12noon to 11pm(Mon-Thu),12noon to 1130pm(Fri-Sun)"|"Excellent"|"4.5"|"107"
"The Burger Brasserie"|"650"|"Cafe,Fast Food,Burger,Beverages"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/the-burger-brasserie-andheri-lokhandwala/info"|"101"|"Café"|"1030am to 12midnight(Mon-Sun)"|"Very Good"|"4.4"|"927"
"Spice Republic"|"1200"|"Cafe,Continental,Mediterranean,Mexican,Italian,Chinese,Modern Indian,Fast Food"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/spice-republic-borivali-west/info"|"101"|"Café"|"1130am to 1145pm(Mon-Sun)"|"Excellent"|"4.6"|"1292"
"Fleur - The Fern Goregaon"|"1200"|"Thai,Continental,North Indian"|"Mumbai"|"Goregaon East"|"https://www.zomato.com/mumbai/fleur-the-fern-goregaon-goregaon-east/info"|"101"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"962"
"Cat Café Studio"|"300"|"Cafe,Beverages"|"Mumbai"|"Versova-- Andheri West"|"https://www.zomato.com/mumbai/cat-café-studio-1-versova/info"|"101"|"Café"|"10am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"575"
"Thotrin Cafe"|"650"|"North Eastern,Chinese"|"Mumbai"|"Santacruz East"|"https://www.zomato.com/mumbai/thotrin-cafe-santacruz-east/info"|"101"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"227"
"Udipi Vihar"|"450"|"North Indian,Chinese,South Indian,Fast Food"|"Mumbai"|"Goregaon East"|"https://www.zomato.com/mumbai/udipi-vihar-goregaon-east/info"|"101"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Good"|"3.8"|"572"
"B MAD - The Restaurant"|"1200"|"North Indian,Italian,Mexican,Lebanese"|"Mumbai"|"Mulund West"|"https://www.zomato.com/mumbai/b-mad-the-restaurant-1-mulund-west/info"|"101"|"Casual Dining"|"12noon to 3pm,6pm to 12midnight(Mon-Sun)"|"Very Good"|"4.2"|"1071"
"Landmark Restaurant Veg Diet"|"700"|"North Indian,Chinese,South Indian,Fast Food"|"Mumbai"|"Malad West"|"https://www.zomato.com/LandmarkRestaurantVegDiet/info"|"101"|"Casual Dining"|"9am to 1145pm(Mon-Sun)"|"Good"|"3.9"|"1067"
"Matka Khichdi"|"400"|"North Indian"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/matka-khichdi-marol/info"|"101"|"Quick Bites"|"12noon to 1030pm(Mon-Thu),12noon to 11pm(Fri-Sun)"|"Very Good"|"4.1"|"222"
"Aavakay"|"1000"|"Andhra,South Indian"|"Mumbai"|"Kandivali East"|"https://www.zomato.com/mumbai/aavakay-kandivali-east/info"|"101"|"Casual Dining"|"1150am to 330pm,630pm to 12midnight..."|"Very Good"|"4.3"|"494"
"Little West Pizza"|"600"|"Pizza"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/little-west-pizza-borivali-west/info"|"101"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Excellent"|"4.6"|"348"
"Prashant Corner"|"300"|"Mithai,Street Food"|"Mumbai"|"Panch Pakhadi-- Thane West"|"https://www.zomato.com/mumbai/prashant-corner-panch-pakhadi-thane-west/info"|"101"|"Sweet Shop"|"9am to 10pm(Mon-Sun)"|"Very Good"|"4.3"|"494"
"Viaan"|"900"|"North Indian,Chinese"|"Mumbai"|"Mahakali"|"https://www.zomato.com/mumbai/viaan-mahakali/info"|"101"|"Casual Dining"|"7am to 10am,1230pm to 330pm,7pm to 1130pm..."|"Very Good"|"4.3"|"606"
"Deepak"|"550"|"South Indian,North Indian,Chinese,Fast Food,Desserts,Beverages,Mithai"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/deepak-borivali-west/info"|"101"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"692"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sarvodaya Pure Veg"|"700"|"Chinese,South Indian,North Indian,Street Food"|"Mumbai"|"Near Andheri East Station"|"https://www.zomato.com/mumbai/sarvodaya-pure-veg-near-andheri-east-station/info"|"102"|"Casual Dining"|"9am to 1130pm(Mon-Sun)"|"Good"|"3.9"|"814"
"Street Gourmet"|"600"|"North Indian,Chinese,Street Food"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/street-gourmet-borivali-west/info"|"102"|"Quick Bites"|"930am to 1130pm(Mon-Thu),930am to 1152pm..."|"Good"|"3.7"|"866"
"Downtown China"|"750"|"Chinese,Thai"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/downtown-china-andheri-lokhandwala/info"|"102"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Excellent"|"4.8"|"162"
"West Coast Grill"|"700"|"American,Italian,Burger,Mexican"|"Mumbai"|"Airoli"|"https://www.zomato.com/mumbai/west-coast-grill-airoli-navi-mumbai/info"|"102"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"1764"
"Ray's Cafe & Pizzeria"|"1400"|"Italian,Pizza,Fast Food,Beverages"|"Mumbai"|"Hill Road-- Bandra West"|"https://www.zomato.com/mumbai/rays-cafe-pizzeria-hill-road-bandra-west/info"|"102"|"Café"|"12noon to 11pm(Mon-Thu),12noon to 1130pm(Fri-Sun)"|"Very Good"|"4.1"|"1960"
"The Yellow Chilli"|"1300"|"North Indian,Mughlai"|"Mumbai"|"Dadar West"|"https://www.zomato.com/mumbai/the-yellow-chilli-dadar-west/info"|"102"|"Casual Dining"|"12noon to 330pm,7pm to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"588"
"Wok Express"|"700"|"Chinese,Asian,Thai,Beverages"|"Mumbai"|"Pali Hill-- Bandra West"|"https://www.zomato.com/mumbai/wok-express-pali-hill-bandra-west/info"|"102"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"1442"
"Kuai Kitchen"|"1500"|"Chinese,Japanese,Thai,Asian,Sushi"|"Mumbai"|"Colaba"|"https://www.zomato.com/mumbai/kuai-kitchen-colaba/info"|"102"|"Casual Dining"|"12noon to 330pm,7pm to 1115pm(Mon-Sun)"|"Very Good"|"4.2"|"1107"
"Dale's Eden Cake Shop"|"600"|"Bakery,Desserts"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/dales-eden-cake-shop-andheri-lokhandwala/info"|"102"|"Bakery"|"9am to 12midnight(Mon-Sun)"|"Very Good"|"4.1"|"706"
"La Folie Lab"|"1400"|"Cafe,Healthy Food,Desserts,Beverages"|"Mumbai"|"Hill Road-- Bandra West"|"https://www.zomato.com/mumbai/la-folie-lab-hill-road-bandra-west/info"|"102"|"Café"|"830am to 11pm(Mon-Fri),830am to 12midnight..."|"Very Good"|"4.2"|"877"
"Kusum Rolls"|"250"|"North Indian,Rolls"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/kusum-rolls-mira-road/info"|"102"|"none"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"728"
"Jimmy Boy"|"800"|"Parsi,North Indian,Fast Food,Desserts"|"Mumbai"|"Fort"|"https://www.zomato.com/mumbai/jimmy-boy-fort/info"|"102"|"Casual Dining"|"830am to 11pm(Mon-Sat),11am to 4pm,7pm to 11pm..."|"Very Good"|"4.1"|"1616"
"Ceremonial Kitchen & Co"|"1000"|"Seafood,Maharashtrian,North Indian,Chinese"|"Mumbai"|"Ghodbunder Road"|"https://www.zomato.com/mumbai/ceremonial-kitchen-co-ghodbunder-road-thane/info"|"102"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Excellent"|"4.6"|"350"
"Markaz Restaurant"|"800"|"North Indian,Chinese,Biryani"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/markaz-restaurant-jogeshwari/info"|"102"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.8"|"478"
"Royal Garden"|"550"|"Chinese,North Indian,Mughlai"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/royal-garden-malad-west/info"|"102"|"Casual Dining"|"1130am to 3pm,645pm to 1245AM(Mon-Sun)"|"Average"|"3.3"|"33"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"New Mezban Restaurant"|"500"|"Chinese,North Indian"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/new-mezban-restaurant-malad-west/info"|"103"|"none"|"12noon to 4pm,7pm to 145am(Mon-Sun)"|"Average"|"3.3"|"23"
"Vishwa Lunch Home"|"250"|"North Indian,South Indian,Chinese"|"Mumbai"|"Vashi"|"https://www.zomato.com/mumbai/vishwa-lunch-home-vashi-navi-mumbai/info"|"103"|"Quick Bites"|"11am to 330pm,6pm to 1245AM(Mon-Sun)"|"Good"|"3.5"|"44"
"Agrawal's Juice N Fast Food"|"300"|"Fast Food,Juices"|"Mumbai"|"Ghatkopar East"|"https://www.zomato.com/mumbai/agrawals-juice-n-fast-food-ghatkopar-east/info"|"103"|"Quick Bites"|"12noon to 1245AM(Mon-Sun)"|"Good"|"3.7"|"72"
"Link  Way Restaurant"|"500"|"North Indian,Chinese"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/link-way-restaurant-jogeshwari/info"|"103"|"Quick Bites"|"12noon to 4pm,8pm to 1am(Mon-Sun)"|"Not rated"|"-"|"-"
"Lajawab Kabab Corner"|"150"|"Kebab,Fast Food"|"Mumbai"|"Sakinaka"|"https://www.zomato.com/mumbai/lajawab-kabab-corner-sakinaka/info"|"103"|"Quick Bites"|"4pm to 1am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Rajyog"|"800"|"North Indian,Chinese,Seafood"|"Mumbai"|"Bandra East"|"https://www.zomato.com/mumbai/rajyog-bandra-east/info"|"103"|"Casual Dining"|"1130am to 1230AM(Mon-Sun)"|"Good"|"3.6"|"83"
"Ruchi"|"500"|"North Indian,Seafood,Chinese"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/ruchi-jogeshwari/info"|"103"|"Casual Dining"|"10am to 3pm,6pm to 1230AM(Mon-Sun)"|"Average"|"3.2"|"6"
"Star Of China"|"800"|"Chinese"|"Mumbai"|"7 Bungalows-- Andheri West"|"https://www.zomato.com/mumbai/star-of-china-7-bungalows/info"|"103"|"Casual Dining"|"12midnight to 1am,12noon to 12midnight(Mon-Sun)"|"Good"|"3.6"|"155"
"Kababchini"|"700"|"North Indian,Seafood,Malwani,Chinese"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/kababchini-borivali-west/info"|"103"|"Casual Dining"|"1130am to 1250AM(Mon-Sun)"|"Good"|"3.5"|"265"
"Renault Bar & Restaurant"|"650"|"Chinese,North Indian,Thai,Fast Food,Seafood"|"Mumbai"|"Byculla"|"https://www.zomato.com/mumbai/renault-bar-restaurant-byculla/info"|"103"|"Casual Dining"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.8"|"145"
"Hotel Amrut Punjab"|"700"|"North Indian,Chinese"|"Mumbai"|"Kalyan"|"https://www.zomato.com/mumbai/hotel-amrut-punjab-kalyan/info"|"103"|"Casual Dining"|"1030am to 130am(Mon-Sun)"|"Good"|"3.5"|"30"
"Sai Leela Hotel"|"600"|"Mughlai,North Indian"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/sai-leela-hotel-mira-road/info"|"103"|"Casual Dining"|"1030am to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
"Scooper N Shakker"|"200"|"Desserts,Ice Cream"|"Mumbai"|"Bhayandar"|"https://www.zomato.com/scoopernshakker/info"|"103"|"Dessert Parlor"|"12noon to 1230AM(Mon-Sun)"|"Average"|"3.4"|"32"
"China 65"|"300"|"North Indian,Fast Food,South Indian"|"Mumbai"|"Malad East"|"https://www.zomato.com/mumbai/china-65-malad-east/info"|"103"|"Quick Bites"|"10am to 3am(Mon-Sun)"|"Average"|"3.1"|"4"
"Supreme Chinese"|"150"|"Chinese,Fast Food"|"Mumbai"|"Sakinaka"|"https://www.zomato.com/mumbai/supreme-chinese-sakinaka/info"|"103"|"Quick Bites"|"11am to 1am(Mon-Sun)"|"Average"|"2.7"|"28"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Fiesta"|"600"|"American,Italian,Fast Food,Burger"|"Mumbai"|"Sakinaka"|"https://www.zomato.com/mumbai/the-fiesta-sakinaka/info"|"104"|"none"|"11am to 3pm,6pm to 3am(Mon-Fri),11am to 3am..."|"Very Good"|"4.0"|"72"
"Tempting Food"|"500"|"North Indian,South Indian,Mughlai,Chinese"|"Mumbai"|"Kandivali West"|"https://www.zomato.com/mumbai/tempting-food-kandivali-west/info"|"104"|"Casual Dining"|"12noon to 130am(Mon-Sun)"|"Average"|"2.5"|"57"
"Mr Kalam"|"300"|"Chinese,Mughlai"|"Mumbai"|"Charni Road"|"https://www.zomato.com/mumbai/mr-kalam-charni-road/info"|"104"|"Quick Bites"|"1pm to 1am(Mon-Sun)"|"Good"|"3.6"|"47"
"Appetite - Resto Bar"|"700"|"North Indian,Chinese"|"Mumbai"|"Powai"|"https://www.zomato.com/mumbai/appetite-resto-bar-powai/info"|"104"|"Casual Dining"|"12noon to 4pm,630pm to 130am(Mon-Sun)"|"Good"|"3.7"|"178"
"Oriental Origins"|"400"|"Chinese,Thai,Fast Food"|"Mumbai"|"Borivali East"|"https://www.zomato.com/mumbai/oriental-origins-borivali-east/info"|"104"|"Quick Bites"|"8pm to 4am(Mon-Sun)"|"Good"|"3.7"|"25"
